return_period,time,sign_acc
return_060d,2020-11-20,0.6748815165876777
return_060d,2020-11-21,0.6751893939393939
return_060d,2020-11-22,0.6754966887417219
return_060d,2020-11-23,0.6758034026465028
return_060d,2020-11-24,0.676109537299339
return_060d,2020-11-25,0.6764150943396227
return_060d,2020-11-26,0.6767200754005656
return_060d,2020-11-27,0.6770244821092278
return_060d,2020-11-28,0.6773283160865475
return_060d,2020-11-29,0.6776315789473685
return_060d,2020-11-30,0.6779342723004694
return_060d,2020-12-01,0.6782363977485929
return_060d,2020-12-02,0.6785379568884724
return_060d,2020-12-03,0.6788389513108615
return_060d,2020-12-04,0.6791393826005613
return_060d,2020-12-05,0.6794392523364486
return_060d,2020-12-06,0.6797385620915033
return_060d,2020-12-07,0.6800373134328358
return_060d,2020-12-08,0.679403541472507
return_060d,2020-12-09,0.6797020484171322
return_060d,2020-12-10,0.68
return_060d,2020-12-11,0.6802973977695167
return_060d,2020-12-12,0.680594243268338
return_060d,2020-12-13,0.6799628942486086
return_060d,2020-12-14,0.6793327154772938
return_060d,2020-12-15,0.6787037037037037
return_060d,2020-12-16,0.6780758556891767
return_060d,2020-12-17,0.678373382624769
return_060d,2020-12-18,0.6786703601108033
return_060d,2020-12-19,0.6789667896678967
return_060d,2020-12-20,0.6792626728110599
return_060d,2020-12-21,0.6795580110497238
return_060d,2020-12-22,0.6798528058877645
return_060d,2020-12-23,0.6801470588235294
return_060d,2020-12-24,0.6804407713498623
return_060d,2020-12-25,0.6807339449541284
return_060d,2020-12-26,0.6810265811182401
return_060d,2020-12-27,0.6813186813186813
return_060d,2020-12-28,0.6816102470265325
return_060d,2020-12-29,0.6819012797074955
return_060d,2020-12-30,0.6821917808219178
return_060d,2020-12-31,0.6824817518248175
return_060d,2021-01-01,0.682771194165907
return_060d,2021-01-02,0.6830601092896175
return_060d,2021-01-03,0.6833484986351228
return_060d,2021-01-04,0.6836363636363636
return_060d,2021-01-05,0.6839237057220708
return_060d,2021-01-06,0.6842105263157895
return_060d,2021-01-07,0.6844968268359021
return_060d,2021-01-08,0.6847826086956522
return_060d,2021-01-09,0.6850678733031674
return_060d,2021-01-10,0.6853526220614828
return_060d,2021-01-11,0.6856368563685636
return_060d,2021-01-12,0.6859205776173285
return_060d,2021-01-13,0.6862037871956718
return_060d,2021-01-14,0.6864864864864865
return_060d,2021-01-15,0.6867686768676867
return_060d,2021-01-16,0.6870503597122302
return_060d,2021-01-17,0.6873315363881402
return_060d,2021-01-18,0.6876122082585279
return_060d,2021-01-19,0.6878923766816144
return_060d,2021-01-20,0.6881720430107527
return_060d,2021-01-21,0.6884512085944494
return_060d,2021-01-22,0.6887298747763864
return_060d,2021-01-23,0.6890080428954424
return_060d,2021-01-24,0.6892857142857143
return_060d,2021-01-25,0.6895628902765388
return_060d,2021-01-26,0.6898395721925134
return_060d,2021-01-27,0.6901157613535174
return_060d,2021-01-28,0.6903914590747331
return_060d,2021-01-29,0.6906666666666667
return_060d,2021-01-30,0.6909413854351687
return_060d,2021-01-31,0.6912156166814551
return_060d,2021-02-01,0.6906028368794326
return_060d,2021-02-02,0.6908768821966342
return_060d,2021-02-03,0.6911504424778762
return_060d,2021-02-04,0.6914235190097259
return_060d,2021-02-05,0.691696113074205
return_060d,2021-02-06,0.6919682259488085
return_060d,2021-02-07,0.6922398589065256
return_060d,2021-02-08,0.6925110132158591
return_060d,2021-02-09,0.6927816901408451
return_060d,2021-02-10,0.693051890941073
return_060d,2021-02-11,0.6933216168717048
return_060d,2021-02-12,0.6935908691834943
return_060d,2021-02-13,0.6938596491228071
return_060d,2021-02-14,0.694127957931639
return_060d,2021-02-15,0.6943957968476357
return_060d,2021-02-16,0.694663167104112
return_060d,2021-02-17,0.6949300699300699
return_060d,2021-02-18,0.6951965065502184
