Date,Close,High,Low,Open,Volume
3/26/2012,1685.5,1692.900024,1657.800049,1665,84
3/27/2012,1684.800049,1690.800049,1684.400024,1687.800049,100
3/28/2012,1657.900024,1670.099976,1657.900024,1670.099976,193107
3/29/2012,1652.199951,1664.5,1644.300049,1661.800049,47342
3/30/2012,1669.300049,1670,1659,1660.599976,9825
4/2/2012,1677.5,1682.800049,1662,1670.400024,2531
4/3/2012,1670,1679.5,1638.699951,1677.599976,1165
4/4/2012,1612.300049,1647,1612.300049,1646.5,1122
4/5/2012,1628.5,1633.199951,1620.400024,1620.800049,289
4/9/2012,1642.5,1646.400024,1636.5,1645.300049,158
4/10/2012,1659.5,1661.699951,1636.199951,1649,350
4/11/2012,1659,1659.699951,1654.699951,1654.800049,426
4/12/2012,1679.5,1680.099976,1650,1660,1309
4/13/2012,1659.099976,1674.800049,1650,1673.300049,220
4/16/2012,1648.699951,1656.800049,1641.199951,1650.800049,717
4/17/2012,1650.300049,1652.900024,1637,1652,69
4/18/2012,1638.800049,1653.300049,1638.099976,1653.199951,273
4/19/2012,1640.599976,1653.099976,1632,1642.099976,77
4/20/2012,1642.099976,1645.599976,1640.900024,1641.699951,54
4/23/2012,1631.900024,1642.400024,1625.099976,1642.400024,226
4/24/2012,1643,1648.599976,1634.400024,1634.400024,123
4/25/2012,1641.400024,1643.800049,1626.900024,1641.300049,82
4/26/2012,1659.599976,1659.599976,1658.300049,1658.300049,280
4/27/2012,1664,1666.900024,1654,1654.5,236
4/30/2012,1663.400024,1665.699951,1653,1663,36
5/1/2012,1661.699951,1670.5,1661.699951,1665,25
5/2/2012,1653.400024,1659.199951,1648.300049,1659.199951,50
5/3/2012,1634.199951,1652.199951,1631.300049,1651.199951,78
5/4/2012,1644.699951,1645.599976,1629.400024,1635.699951,68
5/7/2012,1638.599976,1640,1632.599976,1637.900024,21
